TWEETS,KEYWORDS,FINE-GRAINED,REASONS
You should be tagging the babes ah why??,tagging the babes,neutral,The tweet humorously mentions tagging someone.
We wonâ€™t laugh bia we two mid-sem finish nor lectures dey follow Ad3n,"mid-sem finish, lectures",neutral,The tweet mentions the completion of mid-semester exams.
Thereâ€™s nothing funny here in KNUST ðŸ˜’ðŸ’”,"nothing funny, KNUST",frustrated,The tweet expresses a lack of amusement.
You said ten years from nowâ€¦ so let it be ten years from now ðŸ¤,ten years from now,ambivalent,The tweet expresses ambivalence regarding the timeline for laughing about current issues.
I don't need 10 years I don't have 10 years,don't need 10 years,ambivalent,The tweet expresses ambivalence about the timeline for laughing due to limited time.
This pharmacy faculty stress no be small oo ðŸ¥²ðŸ’€,pharmacy faculty stress,stressed,The tweet describes stress in the pharmacy faculty.
There's a reason why it's in the future. How can you laugh at it now?,"reason in the future, laugh now",ambivalent,The tweet questions the timing of finding humor in a situation.
Masa masa let the student breath s3 u will laugh mtcheww,"let the student breathe, laugh",ambivalent,The tweet suggests finding humor after allowing students to breathe.
"There is nothing to laugh about, ðŸ˜‚ðŸ˜­ when your CWA drops like iPhone battery health ðŸ˜‚ðŸ˜‚","CWA drops, iPhone battery health",stressed,The tweet expresses stress due to a drop in Cumulative Weighted Average (CWA).
Right now saf we wish we were newborns how much more in 10 years to come,"wish we were newborns, 10 years to come",ambivalent,The tweet expresses ambivalence about the current situation and the future.
Kindly reach the Scholarship Secretariat to let those of us on the local scholarship know our fate. The academic year is about and nothing has been heard concerning our fees.,"local scholarship, academic year, fees",frustrated,The tweet expresses frustration about the lack of information regarding scholarship fees.
This school has drained all the blood in me coz eiii but still we will laugh at the end,"school has drained, laugh at the end",ambivalent,"The tweet expresses ambivalence about the situation, hoping for laughter in the end."
You don chop finii abi What's funny here to laugh about?,"don chop finii, funny",ambivalent,The tweet questions the humor in the situation.
"No matter the life situation and how life is treating you on campus, be bold enough to seek help from professionals. Seeking help is not a sign of weakness, but, COURAGE. Suicide shouldn't be the OPTION in any way ðŸ’” #SayNoToSuicide â—","seek help, professionals, suicide",concerned,The tweet encourages seeking help and addresses the seriousness of the topic.
Most of the depression cases be money issues chale life on campus hard dodo. Give us student allowance erh,"depression cases, money issues, student allowance",frustrated,The tweet links depression to financial issues and requests a student allowance.
Dem defer me secof course registration how for do,"defer, course registration",frustrated,The tweet expresses frustration regarding deferred registration.
Entertainment will help release stress and heal depression.... Bring back the entertainment ðŸ¤,"release stress, heal depression, bring back entertainment",optimistic,The tweet suggests the benefits of entertainment in relieving stress and depression.
This no dey hia tweet and second the exercise wey Conti and Kat dey wan use relief depressed students,"no dey hia tweet, exercise, relief depressed students",neutral,The tweet mentions an exercise for stress relief.
Bring back the entertainment oooooo tomm,bring back entertainment,optimistic,The tweet advocates for the return of entertainment.
It's funny how you people always bring out the idea of seeking help from professionals when you're in need.. Yet you'll visit them and explain your problems to them and they'll have help for you. It's very difficult for some of us.,"seeking help, professionals, difficult",ambivalent,The tweet expresses ambivalence about seeking professional help.
Well I need help with how those that party or whatsoever in Brunei sports complex play their music at night. The base is too high that your bed and your insides will be shaking. The DoSA should do something coz I have been having sleepless nights on those days. It's very bad,"party in Brunei sports complex, music at night, sleepless nights",frustrated,The tweet addresses loud music in Brunei sports complex and its impact on sleep.
The problem is that when you seek help they use it against you,"seek help, use it against you",concerned,The tweet expresses concern about seeking help.
"They want you alive, they don't need you alive. 80+ of my contacts viewed my WhatsApp status, seeing me, I'm hungry, I'm starving etc. Nothing was done. But when I posted, on my way to ""CONTI LAST FLOOR"" Two friends were there ready to take videos. WHO ARE THE PROFESSIONALS?","want you alive, don't need you alive, hungry, starving, professionals",concerned,The tweet questions the effectiveness of seeking help.
We are stepping out tomorrow wether u like it or not,"stepping out, tomorrow",neutral,The tweet mentions plans to go out.
Attention Admin ðŸ“if you're the voice as your username claims ðŸ’” Live up to it â€¼ï¸,"Attention Admin, the voice, live up to it",neutral,The tweet addresses the admin.
"Hmm do you think students don't seek to do so? The very people we will seek from are the lecturers whom in one way or the other we, the people who are killing themselves, think they are treating them unfairly, which is true sometimes","seek help, lecturers, treating unfairly",concerned,The tweet discusses seeking help from lecturers and perceived unfair treatment.
Why donâ€™t use another word instead of â€˜helpâ€™. Havenâ€™t you changed the topic already?,"use another word, changed the topic",concerned,The tweet suggests using different terminology and changing the topic.
"No matter the life situation and how life is treating you on campus, be bold enough to seek help from professionals. Seeking help is not a sign of weakness, but, COURAGE. Suicide shouldn't be the OPTION in any way ðŸ’” #SayNoToSuicide â—","seek help, professionals, suicide",concerned,The tweet reiterates the importance of seeking professional help and discouraging suicide.
"This won't help. I suggest they build a survey or something. They can make it a strict requirement to accessing the student portal. That way, they can somehow detect the likelihood of a student facing the event of interest or already in the process.","build a survey, student portal, detect likelihood",concerned,The tweet proposes a survey as a more effective solution.
Tell management to give us mid-sem break we beg,mid-sem break,frustrated,The tweet requests a mid-semester break from management.
"But low what have yâ€™all seen in life to k!ll yourselves in school, a place you do not take care of yourself? What of those in the real world with kids and no income? No jobs or jobs that takes all your time. We need to be real, this life isnâ€™t easy! Cheers ðŸ¥‚","kill yourselves in school, not take care of yourself, real world, no income, no jobs, jobs take all your time",concerned,The tweet urges realism about life's challenges and encourages self-care.
Activities such as what??? Bring back morale,"activities, bring back morale",optimistic,The tweet requests the return of morale-boosting activities.
Try and think positive,think positive,optimistic,The tweet encourages positive thinking.
"5 key Emotional bla bla, we have chat GPT and it can give us more of that","Emotional, chat GPT",ambivalent,The tweet discusses emotional support options.
"When youâ€™re sad try not to be sad, then you wonâ€™t be sad againâ€¦â€ ðŸ™‚that was really helpful, thank you very much","sad, try not to be sad",ambivalent,The tweet reflects on advice for managing sadness.
How can one sleep while the school is on his/her happiness?,"sleep, school, happiness",frustrated,The tweet expresses frustration about school affecting happiness.
Charlie monkyÉ› yÉ›n 5marks na Cwa no nyÉ›.. It's the main reason persons are getting depression biko! ðŸ˜ŒðŸ¤Ÿ,"5marks, CWA, depression",frustrated,The tweet links depression to academic performance pressure.
Point 2 is no more there (morale) unless we engage in drugs and alcohol for quick relief ðŸ˜®â€ðŸ’¨ðŸ¥²,"morale, drugs, alcohol",concerned,The tweet mentions a lack of morale and potential negative coping mechanisms.
There's a lot of work to be done. Do not feel so comfortable seated in your office. A lot is happening on campus.,"lot of work, comfortable, office",concerned,The tweet discusses the workload on campus.
Get enough sleep. Me been depressed literally means Iâ€™m sleeping 24/7 not wanting to go out and engage with anybody.,"get enough sleep, depressed, engage",stressed,The tweet describes sleep-related depression symptoms.
Epilogo dems and hall week dems were a big part of this and now they are no more and students canâ€™t do anything fun on campus unless they go out to clubs and all letâ€™s not forget that itâ€™s what took one of our loved ones from usâ€¦,"Epilogo, hall week, fun, loved ones",frustrated,The tweet laments the absence of fun campus events and their impact.
"To be honest, this 5 key whatever isn't going to help. Has any of them gone through depression before? If they have, they wouldn't write what they are writing. That thing is a different feeling altogether. They should come up with something more interesting than this","5 key, depression, interesting",frustrated,The tweet questions the effectiveness of the 5 key approach.
It doesnâ€™t work that way. The first suggestion is an error because depression doesnâ€™t allow you to think about absolute positivity. And talking to a peer counselor is worse because they will use it against you one day if you cross their interest (woman/man),"depression, positivity, peer counselor",concerned,The tweet discusses the challenges of managing depression.
What do you think the KNUST Management should do to curb the uprising of suicide attempts on the KNUST Campusâ“ðŸ‘€,"KNUST Management, curb suicide attempts",concerned,The tweet seeks suggestions to address suicide attempts.
"Bring back the activities that took stress off students; Src week, hall week etc I don't know what meetings the Lectures had, rn u do small mistake then Lecturer vex for class la's la's ebe the class way go go through am. Bring dining like shs do cos boys dey br3 enor be easy.","bring back activities, stress, lectures",frustrated,The tweet suggests reinstating stress-relieving activities and addressing lecture-related stress.
The CWA thing should be cancelled because it's eating up most students when you get close and listen to them.,"CWA, cancel, students",frustrated,The tweet criticizes the Cumulative Weighted Average (CWA) system.
Introduce Psychology,introduce Psychology,concerned,The tweet proposes the introduction of psychology services.
"Restore the sole of KNUST. Make KATANGA and UNITY great again. Friday morale should be constitutionalized. Restore hall week celebrations: epilogo et etal is vital. Restore 1-week break after midsem. Else, I see another demonstration booming up.","KNUST, KATANGA, UNITY, morale, hall week, demonstration",concerned,The tweet lists various suggestions to improve campus life.
Stop posting results on the notes board. Itâ€™s a bad decision they have ever made.,"posting results, notes board, bad decision",frustrated,The tweet criticizes the practice of posting results publicly.
This be Bulshit if youâ€™re tired with your life â€¦ Look at Job in the Bible sia kwa who tired pass am,"tired with life, Job, Bible",frustrated,The tweet suggests seeking inspiration from the story of Job.
Our efforts are not reflecting in our portal. They should just give us all first class.,"efforts not reflecting, portal, first class",frustrated,The tweet comments on the grading system.
We shouldn't be writing Exams ðŸ˜­ . They have our numbers mk Dem send we moneyðŸ¥¶ðŸ¤£ all we need is money we'll talk about the rest later,"writing exams, send money",frustrated,The tweet humorously suggests receiving money instead of exams.
The school is only concerned about its glory.. they donâ€™t really care about the students chale .. must we learn all the timeâ€¦ free us chale,"school, glory, students, learn",frustrated,The tweet criticizes the school's priorities and workload.
"As a matter of fact this shouldnâ€™t be the question we should ask them? What are we all trying to achieve in life? Though we students make mistakes and the only thing that holds everyone together is get together and you band things as such, itâ€™s very sad to hear thisðŸ’”","achieve in life, students, get together, sad",concerned,The tweet reflects on the purpose of life and student unity.
"ðŸ¥± how are these comments going to solve the problems?? ðŸ¤” If the problem is caused by KNUST, it should be solved by them. Itâ€™s called Responsibility. Iâ€™m not taking anything ðŸ’°and youâ€™re welcome.","solve problems, KNUST, Responsibility",concerned,The tweet questions the effectiveness of comments in solving problems and emphasizes responsibility.
They should give scholarship to everyone and end education so people can rest ðŸ˜‚,"scholarship, end education",humorous,The tweet humorously suggests giving scholarships and ending education for relaxation.
"The school wey we dey, even holidays we dey go lectures. No social gathering (src week and others). Shuttles too bi key in depression. Chaley students dey suffer ooo","holidays, lectures, social gathering, shuttles, depression",frustrated,The tweet lists factors contributing to student suffering.
The thing is thereâ€™s no enjoyment and happiness on Tech campus ðŸ¤¦â€â™‚ï¸,"enjoyment, happiness, Tech campus",frustrated,The tweet expresses a lack of enjoyment and happiness on campus.
Some lecturers should just test our understanding with their questions during exams and not kills us. We beg.ðŸ™ðŸ¤²ðŸ¤²,"test understanding, questions, exams",stressed,The tweet requests fair exams.
"Kindly feel FREE to seek help whenever you are depressed or Emotionally down. Seeking help is not a sign of weakness, but, COURAGE. Suicide shouldn't be the OPTION in anywayðŸ’”ðŸŒ…","seek help, depressed, courage, suicide",concerned,The tweet encourages seeking help for depression.
We need to talk on this issue,talk on issue,concerned,The tweet emphasizes the need for discussion on the issue.
"Mid-Sem Examination begins tomorrow and yet still, some students haven't been allowed to register for their courses and are been tagged as DEFERRED. If these students are unable to write the mid-Sem, it means they have been deferred for the KNUST 2022/23 Academic year ðŸ’”ðŸ’”","Mid-Sem Examination, deferred, courses, registration",frustrated,The tweet highlights registration issues affecting students.
This is what happens when a woman with no vision is made a VC,"woman, no vision, VC",critical,The tweet criticizes the leadership of the university.
Buy you know say you dey waste my tweets?? Ahh,waste tweets,annoyed,The tweet expresses frustration about tweets being wasted.
So demma money and time shi that. This school ankasa I no Dey barb nkwasia leaders.,"money, time, school, leaders",frustrated,The tweet criticizes the school's leadership.
KNUST and issues with results n courses registration dey stress pass everything,"KNUST, issues, results, courses registration",stressed,The tweet discusses stress related to results and registration.
Get an effective SRC Board. The one in @Voice_Of_UPSA is doing so well. You can seek help from themðŸ¤,"effective SRC Board, help",concerned,The tweet suggests seeking help from another SRC Board.
"I have been deferred, and dey biz me why ? I say I couldn't register my Course registration on time . It doesn't make sense for the school to defer someone like that","deferred, Course registration, time",frustrated,The tweet questions the logic behind deferring students for registration issues.
"Freeman Birch@FreemanBirch1Â·Jul 2I made payment through the in-app MoMo payment system through the Aim app since yesterday, it has still not reflected. What's going on?","payment, MoMo payment system, Aim app",frustrated,The tweet highlights payment issues.
This shouldnâ€™t happen at allâ€¦. The fact that you allowed some students to register paa de3.. you should do something about this,"students, register, do something",concerned,The tweet calls for action regarding registration discrepancies.
I had surgery because of that I could not register on time ... I have been deferred. Whaaaat !!!! They want me to bring the sutures on my wound to school and die ...? I'm from Eastern Ghana -Koforidua. ..A friend of mine even got an accident on his way to school.,"surgery, register, deferred, accident",frustrated,The tweet discusses medical issues affecting registration.
Hope they can do something about it,do something,hopeful,The tweet expresses hope for a resolution.
The most painful thing is that other colleges have registered their students but @canarsa_knust has refused to register us.ðŸ’”ðŸ’”ðŸ˜¢ðŸ˜­,"colleges, registered, refused to register",frustrated,The tweet highlights registration issues in a specific college.
Why do students find it difficult to go for remarking of their Examination Scripts even if they strongly believe that is not their real Effortsâ“ðŸ‘€,"remarking, Examination Scripts, real efforts",concerned,The tweet questions why students are hesitant to seek exam script remarking.
"If you want to use 5 years to complete a 4 years programme, you can go ðŸ˜‚","5 years, 4 years programme",humorous,The tweet humorously comments on the length of study.
Because we are all Ghanaians and we know wossop ðŸ˜‚ðŸ˜‚ðŸ˜‚ one funny thing is a youth challenging an adultâ€™s decision ðŸ’” you die be that,"Ghanaians, youth, adult's decision",humorous,The tweet humorously discusses challenging authority.
"Fail my friend or NO SUGAR FOR HIM. Now my friend is broken. Itâ€™s real I feel like, asking for remarking is going to be useless.","fail, friend, remarking",frustrated,The tweet discusses the consequences of failing an exam and doubts the effectiveness of remarking.
"Shouldnâ€™t I give your scripts and marking scheme to another lecturer to markâ€ ?ðŸ˜­ðŸ˜­ðŸ˜­ðŸ’”ðŸ’”Omoo, nigga lef the office silently come hostel come dey cry ðŸ˜¹ðŸ˜¹ðŸ˜¹ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥","scripts, marking scheme, lecturer",stressed,The tweet narrates an emotional incident regarding scripts.
Imagine going to my lecturer because I wasn't confident in my results outcome for the exams and he threatened to take some of the marks back meanwhile people who went for review already lost ten marks to serve as a lesson to those after them. Will you go if you had same problem..,"lecturer, results, confident, review",concerned,The tweet discusses a negative experience with a lecturer regarding results.
You go fit challenge supreme court ruling?,"challenge, supreme court ruling",humorous,The tweet humorously asks if one can challenge a Supreme Court ruling.
